,text,time,hashed_value
101,"@bobby_todd No its wednesdays, I hate.. ",,
102,man its sooo nice out...but my back hurts like no other ,,
103,"Was running late to my train, pushed my bike so hard I dislodged the handle bars ",,
104,Not sure why I try to give blood anymore... it seems like I fail the test 2 out of 3 tries  ,,
105,is so so tired...omg this day is gonna suck ,,
106,can't believe it has been one year already.. yet the pain I feel whenever i think about it is no less than what i felt before. ,,
107,"@sueupton Be glad it's warm there! It's been rainy, dreary, and cool here in the Northeast  #dumbledore",,
108,"Thank f**k works finished, now jobs at home to do ",,
109,@launton d'oh chaffing would make for a very unhappy experience   I shoulda powdered,,
110,woke up early  helluh tiredd. text it(:,,
111,Yup - late for work!   But not nearly as late as the UN an international &quot;human rights&quot; organizations are in working to free #Gilad !,,
112,I have a sunburn. That really hurt ,,
113,In class ,,
114,"feeling soo dayum good , its too hot to go anywhere . ",,
115,http://www.oceanup.com/3.html nick testifying for diabetes. he pricks his finger 12 times a day  We need a cure for type 1 diabetes!!,,
116,"hmm what to do today....nothing as per  wish i had my car  or even better wish people would remember i exsist, haha -_-",,
117,about to watch &quot;he was a quiet man&quot; anyone watched it? scary yes/no? thoughts? its 2am so warn me if its scary ,,
118,@kellymccausey Can you believe he's a year older already! It goes by so fast ,,
119,"I'll definitely missed the net, the aircon and many stuffs when I stayed on the dorm already.. ",,
120,"@Rachelle_Lefevr  Great interview this morning on KAK. Hope you enjoying Australia, pitty you couldn't make it to Adelaide ",,
121,Can't w8 till next weeks pay day already this weeks shocking pay ,,
122,@yqlairotciv I think I'll miss you even more! Aw. ,,
123,@marshallbu *shudders*...good luck with the test. I'm all test'd out. I got class and homework for the majority of my day ,,
124,I wish you would just stop ,,
125,@freakgoddess okay thats it ..i am real hungry now . thnks to u i m also craving for reshmi kababs but can't hav one cauz its thursday.. ,,
126,just spilled my cup of coffee all over me. it was so embarassing. ,,
127,Talking to Jonathan on the phone ,,
128,I wanna go to ibiza now... O cant wait to aug ,,
129,"@Secretshowcase a damn, wish i could make it bro ",,
130,"@JessieHand ugh i know, stupid clouds!! i forget what the sun looks like! i cant go to aqua sunday  im pisssssed.",,
131,Leavers Day tomorrow...I don't wanna leave ,,
132,"Is Still @ The Office And Running Late!!! Om Half 5 Een Meeting In Amsterdam, Ik Ga Het NOOIT Redden ",,
133,#22725 - The Anonymous Hugging Wall in London .. I want to hug too  http://viigo.im/01yT,,
134,@elaineching i kena before so do understand u guys feeling ....  my 3 previous LV gone !!!,,
135,At Erica's house responding to emails/messages then headed to the pool for some Q.T. with the cuzzos and homeboy before I leave Saturday ,,
136,Lol cheer up fat Asian blob. I'll see meeeee yay ugh I bruised my elbow today cleaning my room ,,
137,i feel like shit ,,
138,@BrianNippon do you have those Hate demos? myspace blocked the links ,,
139,@TexasFella68 LSU - I heard  Crap!,,
140,"@moidem frst off, happy b-day belated...2nd, its not alwaya that simple ",,
141,European championship gets closer. Just 2 month. And my horse is still lame ,,
142,nuts. apple store couldn't fix iPhone &amp; can't replace international ones ,,
143,@criistina26  just when i appear you leave!  hahah talk later ok? love ya girl! â¥,,
144,Does anyone know how to treat sunburn? ,,
145,"@aada Try to have fun, even though it sucks so badly ",,
146,"@fauxrean haha, I usually don't have a hangover, but this morning I woke up w one.  Sucks.  ",,
147,@Richard_RN I think you are pretty much right on that one. ,,
148,can't get any ticket.. ,,
149,Wishing she had mula baby to bo get some tacos from the taco lady. ,,
150,"@Alliemolson...allikins, man we need to get this thing sorted out soon love! you know what sucks, im working on canada day ",,
151,ay! i think i have tendonitis in my right forearm...it'll feel like a rubber band is stretching and hurts every once in a while ,,
152,@jeffbowes oh jeff look what you did! @homelessamerica is following me now!! haha im  a jerk ,,
153,Another exciting game at the CWS -- but the ending was a dissappointment.   Better luck next year!,,
154,People who can't remember their passwords shouldn't try to tweet ,,
155,"Sweet! Going on a boat cruise today! A 3 deck ocean liner? Wow, I love my job already lol. (Going to miss nba draft though  )",,
156,Am rocking a Bryan May hairdoo lol can NOT be arsed straightening it but a need too ,,
157,My Son got sick all on delivery  driver then bumped car in front. Every1 fine except woman pretending to have whiplash. shes delusional,,
158,OMG..last night Brii fell down a flight of stairs at a relatives house  she is fine...just sore.,,
159,Well my water heater is OFFICIALLY broken!!  No hot water!! I can't believe it!!,,
160,"Read to head back up the mountain, but wishing I could see a good friend too, who's in the opposite direction ",,
161,@han_geng I write for you again &lt;3 cuz I miss you ,,
162,"Crap: less than week till my exam and I haven't started the lessons yet, much less written my essays.  It's gonna be a FUN 5 days...",,
163,isnt feeling much love today ,,
164,@UmbilicalBros But I'm in the US!! What about us?? ,,
165,@best_mistake http://snurl.com/kuql3 it seems like you need that video more than me right now. Get Better  I don't like seeing you sad ,,
166,WOW @keitholbermann worst person in the world SMH http://tinyurl.com/ncavfb what a shame ,,
167,@TweetDeck Why wont tweetdeck keep the group members in sync between computers? mine are definitely not ,,
168,Thursday? But I still have 2 more days to work ,,
169,@ambersimmons i'm going to keep looking. it seems that every one that looks good to me (ie: tweets my post) has not been tested. ,,
170,my &quot;curse&quot; are showing!!! and I can only get rid if them after july 01  ,,
171,"Good news this morning.Wish I was as excited as everyone else  Will happen, has to happen, waited over 6 mo. 4 it. Make 'em proud.",,
172,@zulacat mommy says I can't lay in socks cuz i will poop and pee on dem. ,,
173,@cookiecat57 Lucky! There is no sign of the sun here. ,,
174,"dang it, had a meeting today but it was rescheduled to next month...i shaved for nothing ",,
175,Markus walks! It's official. Just filmed it with my telephone but seems the camara wasn't on after all. ,,
176,i am not a fan of dry spells ,,
177,stuck a whole hour outside home. i should carry my keys more often. ,,
178,i feel sick. i think i didn't cook my lunch right :| and i don't wanna go to workkkk. boooo ,,
179,@MimiHotLips  my lunch was rubbish... just a crappy sandwich  Now eating my fresh box of fruit.. pic to follow!,,
180,Oh man. I'm having flu again  Please let me be well tomorrow!!!!!! ,,
181,I totally jacked up my neck an my back (and my crack). Would muscle relaxers help? Never took em before. Anyone got any? ,,
182,@ work in pain my back has been killing me!!! a old injury keeps acting up with the rain!  cant wait for this pain pill to kick in,,
183,This sickness is annoying. Go away already. ,,
184,Last day with the kids is always bitter sweet.....   I'll miss the little guys actually...  ,,
185,feel terrible on swimwear! Who to do? ,,
186,how to makes him understand about this......... ,,
187,In a meeting until 5pm  wondering when I'm meant to fit in my day job!,,
188,"Need to go jobhunting tomorrow, which means I need to write a CV... boring ",,
189,going back to sleep! I'm cranky ,,
190,"just locked herself out  god, do i hate calling the lock&amp;key service ... i seem to being doing that a lot lately *sigh*",,
191,home from school. have to learn so much ,,
192,"@switchfoot Yup, waking up's such a chore! ",,
193,AAAHHH does anyone near EUR have an iPhone charger? I need one.  Mine's at home and my batteries are running low. ,,
194,Mmph.  Too many hash browns at breakfast...or something.  Tummy hurts very muchly now.  ,,
195,Have a good day @cp9549402809.. I miss you already ,,
196,"I just watched little league asia pacific baseball 2009 @ senayan. Whoaaa, but too bad for Indo ",,
197,gutted that i have no telly to watch Wimbers... more gutted about the whole Rafa thing  who do i support now my boy's not playing???,,
198,"Here's the @eyeweekly ad for Comedy Above The Pub Tonight. http://bit.ly/hRZQn Still not in the comedy grid, though.   http://bit.ly/AChsO",,
199,Have to do stupid chores ,,
200,@kellypuffs That is sad  What happened to it?,,
201,paddy mcgunniess' older brother has been voted off coach trip  this is a sad day for Bolton,,
202,life sucks sometimes ,,
203,I just dont understand... Everything has been so good lately ,,
204,"Sigh, nobody wants to play twitter with me.  Anyway, need to go sleep now and wake up to study!",,
205,@phiggins Doesn't it though?  I just cant understand the need unless there is something added that needs to be in the sys classpath.,,
206,@Tw1sty you're already pretty! ,,
207,Just finished my sushi snack pack and realised I forgot all about the wasabi! ,,
208,"At acting right now, it is going to suck! ",,
209,"my life is going down the shitter right now  , but I do have somethings that are looking on the up and up",,
210,I miss Techmex..there I said it ,,
211,http://twitpic.com/8dcow - I didn't know what the hell this was until I went to the hospital and it was hives! Can't eat walnuts! ,,
212,@lyrahs_ yup but she cant meetup on fri so im thinking if i shld still get it.whatya think? ,,
213,what is wrong with me... i'm soooooo tired!! ,,
214,http://twitpic.com/8dcp0 - makes me think of the last time.. ,,
215,Up a little earlier than the last couple days but only by a little over an hour. ,,
216,Wants hair dreads so badly now. No money ,,
217,@Accessories_UK - hope itn stays good for you guys ... here we are definitely expecting thunder storms ,,
218,i messed up ,,
219,when is MizMM going to online? when when when? ,,
220,"New tv, new tv! Wanna go set it up now  http://mypict.me/5AHl",,
221,My face is still peeling from my beach visit 2 weeks ago. ,,
222,"@lmsantiago Inevitably, the lawn mower quit on me once I got to the backyard. It's beyond my skills (and time) to figure it out. ",,
223,@Micrathene RE twitterfox - me too. Boo ,,
224,my internet keeps shuting down whenever i try to bookmark something... and i bookmark everything ,,
225,I almost got hit by a car. it didn't stop ,,
226,Motivation....anyone got any spare - struggling today ,,
227,loving the new jonas brothers cd they are just too adorable.  wish i could go to their concert ,,
228,"@cosmorays YESYESYES,budden I need the ribbon.It has run out of ink. ",,
229,@mandleh soak up the sun boy  jealous,,
230,The radio really knows how to kick you in the balls. ,,
231,@Denyalle Good morning! It's hot and humid here. Clouds are forming for rain and thunderstorm later today ,,
232,Sleeping before a busy travel day tomorrow. It seems strange not having my little dog at home though ,,
233,@Shontelle_Layne Good?  nothing. the weather's bad here.,,
234,such a great day outside sun is shining and it is ssoo warm and i'm working ,,
235,working out sucks ,,
236,@OrganGrinder_  i wanted them to talk about the footy lol coz shes a qld and he is NSW,,
237,oooooh! Sugar Honey Ice Tea!!!! ,,
238,@laura_thompson Noes .   But I did learn some valuable lessons or some junk so it's cool.,,
239,when @imogenheap replied to me she told me Ellipse comes out aug 4th. I could listen to it on the beach. now with it out aug 24.... ,,
240,Apologies to  #jiscrscnw09 organisers for my earlier tweets. Crucial emails to me not received due to voracious spam filter and RBLs ,,
241,Fish just keep disappearing in the tanks at work. Two of the babies have gone missing and my pleco is MIA. I'm a terrible fish keeper ,,
242,I forgot my dog koda outside all night last saturday IN THE RAIN!!  I woke up Sunday morning and was like OH NO!!  He was cold n wet ,,
243,@tommyreilly Jealous! I just tried to make an omelette and failed miserably ,,
244,Elimination diet seems to work - no meds for a week and still feel fab.  Alas it seems the things that are in everything are the bad ones ,,
245,Just saw an All Pro Sound truck and it made me go ,,
246,@msnoody Anthony Hamilton hurt his foot &amp; Doc told him to stay off of it  He didn't make it in-studio but he will be on stage tonight!,,
247,@theoreticalgurl sorry to hear there will be no tweets ,,
248,@NaNaByB NOOOOOOO THIS IS DEVASTATING NEWS!how u got sick in the summer?!?! ,,
249,have a really sore throat and i think i also have a fever  not good,,
250,"@toolface oh i haven't seen that one but yeah, it was a rerun.  good, they should cancel it, for the kids. D:",,
251,@eserei27 No it is not Sept 21st yet. ,,
252,@MandyCharlton  hugs!,,
253,Just ended my nightly phonecall with the bf... I miss him.  8 more days till we see each other for the weekend!,,
254,sitting watching harry potter with major toothache  !!!,,
255,@bargainbriana me too! i hate that because you feel completely wired and anxious until the majority of it is done ,,
256,wonders why are my friends in FB and PLURK have this common sickness...*sigh*  http://plurk.com/p/13w7av,,
257,"This is how tired I am. Its 3pm &amp; I've only just woken up. Shock, horror! My throat is sore &amp; my nose is blocked ",,
258,@deaconblade @zaam  #OMC @dangerdoll @esko @deadlycyclone Guerilla's been used. ,,
259,@JessObsess yeahh! she protected all her updates  and i think bdens type ryhmes with smemma smamilton ;),,
260,i dont want him to go!!! ,,
261,Well off to skool  n sweet dreams,,
262,Close friend Leaving town for good  I wish you all the best Russ!,,
263,"@thejazzter The usual - polishing my badge, getting tips, helping in any way I can! Wish I was out in the sun ",,
264,@princesspixel i had to request it! i was so confused about it the first time i thought doing it again might help. it didn't ,,
265,In summer school. Not in a good mood right now ,,
266,I'm so damn tired. ,,
267,early :l and I put the same darn jeans on as yesterday. ughh. I don't like the morning.bespecially when you have nine hours of math ahead ,,
268,Aaaaaaaa its tooooooooo hot at work  I'm melting !,,
269,Last sweet was meant to be in reply to @eXpSG. @fail ,,
270,@TiaLaw morning trouble. I'm having male problems ,,
271,"In fact, I hope I get my cut today. Amal's away this weekend ",,
272,Still feeling sick. Waste my days off being sick ,,
273,@dv21_9 not LIVING inside the &quot;village&quot;.. but abt 9hrs inside the &quot;village&quot; is as good as living in it hor??.. ,,
274,why why why why why why did i not get tickets for T in the PARK??  boo whore!,,
275,I need some sleep but I just can't  http://myloc.me/5AIs,,
276,I think @Cztron made me sick this morning LOL  ,,
277,my scion baby needs new kicks asap ,,
278,"NOOOOO! SCHOOL HOLIDAYS ARE NOT EXTENDED. Common tests next week, I am really screwed ",,
279,i shower myself with cold freezing water hahahahaha ,,
280,WE FAILED ,,
281,"ZuneHD looks great! OLED screen @720p, HDMI, only issue is that I have an iPhone and 2 iPods  . MAKE IT A PHONE and ill buy it @microsoft",,
282,Fuck! This is so not what I needed this morning ,,
283,@bemy_zombiehero you have sun?  i don't ,,
284,vince! please get better! im getting worried! ,,
285,Disappointed.. 2 eng flicks out and both have shit-laden reviews ,,
286,I cud be in Southampton right now  damn them stupid trains!!!,,
287,Woke up early to feed my cat. Forgot he was gone. ,,
288,@NajiahYahya yeah dead date  hehh apakan,,
289,"@mollydotcom Chin up Molz. It could always be worse - you could be on fire, that'd suck. ",,
290,Ok... That last beer last night might not have been the best idea ,,
291,@xCherryDeVillex  i thought i was the husband to be ...,,
292,mouth is killing me  @ Home http://loopt.us/wTUEkQ.t,,
293,I miss my cats. Seriously. So much that I'm going thru their pictures at work. ,,
294,I want to go ouuuuuuuuut!! Air free pleaaase! ,,
295,I'm getting a headache ,,
296,"@funkyfannys ahahahah! i luvs it! a frisky granny, at that! and yea, i'm kinda regretting the second cup ",,
297,"@KevinRuddPM hey, I have an assignment draft due tomorrow, and I havent started. I look at it and all it says is nothing to me  Crisis.",,
298,is absolutely nakerd ,,
299,My stomach is still punishing me ,,
300,Gah... feeling dizzy and nauseous  I think I'll go sleep the rest of the day X_x,,
301,"Smashed my ankle while bowing. Ball = over 5kg, speed = around 40km/hr, impact on bone, do the math ",,
302,"@anyidiot_Tori  Just sucks cuz the better team didn't win the series, just one game ",,
303,Going to whitewater today. Should be fun with little middle schoolers ,,
304,At work! Hungover... ,,
305,I'm saddened by the sudden loss of my coffee pot. He will be sorely missed ,,
306,"I've never gagged puked in my mouth while eating ANY food and today it happened, thank you jack in the box you are 1 in a million... ",,
307,3 year old nephew running around naked touching his penis. Father in law tells him hands off in a shaming voice. I do not even understand ,,
308,apparently days can turn around real quick... ,,
309,why why why why why why did i not get tickets for T in the PARK??  boo whore!,,
310,i should start packing my flat up but i dont want to ,,
311,@Anitaestya yep very baaaaaad ,,
312,bored. dont want to sun bathe alone ,,
313,needs a new phone bad ,,
314,bored as ever   naty went 2 tlk 2 a frend so im alone    in this vehicle   when we get home i wish shed play crds    but she wont  ,,
315,shit it didn't work  &lt;3 haha,,
316,Home! from the most amazing experience of my life! miss it already ,,
317,@CricCrack J'comprends rien ,,
318,waaah I suddenly miss bombay ,,
319,I am clean and I guess I don't have to take my grandma places... she wanted to go alone. I still have to work today though. ,,
320,I feel crappy ,,
321,Do you ever imagine the perfect dress? Pants? Shoes? And then hope someone somewhere made it so you can buy it? I am experiencing that ,,
322,awful day ,,
323,@Kenichan *sends pick me up and smile vibes* I sawwie day is crappy ,,
324,someone is hacking my account ,,
325,My car is still broken   I have places to go and people to see,,
326,"preparing for documentary filming later, office ready, staff ready, but construction crew destroying the sidewalk just outside our door ",,
327,"@caosmoker - Its about 100 miles between us, with nowhere significant in the middle!   Any ideas?",,
328,I want to watch Transformers. ,,
329,When it rains it pours ,,
330,exhausted and I am really achy!! ,,
331,"@msilve Awwww, that stinks that you feel worse!  But yes, I am there in spirit making you Italian food, okay?&lt;3333",,
332,i really really hope my Mama gets better ,,
333,Twitterfon just doesn't appear to be working for me today. ,,
334,Day 2 :: my tummy hurts ,,
335,duduk  manis dengerin debat capres.. makin gak simpati aja liat megawati .. ,,
336,"@Ismahyus OMG! Really? Nobody tell me, you know. Somemore my printer baru habis ink. ",,
337,"is on the bus going home, and a little pissed that none of the quizzes will work on her cell phone ",,
338,woke up to a spider dangling right above my head. i screamed. it fell. i think i swallowed it. ,,
339,sad that its sch to rain in west palm for my concert saturday ,,
340,Spoke too soon. One surgeon in behind closed doors. I thought they were only going to look at my foot and not chop chunks out of it ,,
341,Tireeeddddd. ,,
342,It's too early to be at work ,,
343,"OUCH ..Left my Kindle on Jet. If you are reading it now, judge me for the Ben Franklin biography, not the 15 books on self improvement. ",,
344,Waiting on phone repair man. Hoping to have my phones working soon  Also praying this is a better day,,
345,last day at the beach ,,
346,Last day in nyc ,,
347,@Bookgal link didn't work. ,,
348,People are talking bad about the movie Transformers  I guess ill be the judge of that. Going to see it this morning....,,
349,"@__zues I'm so malas. OMG Mi, lama tak jumpa, but I'll go for the sake of  you. Lala tak pergi tapi pls ",,
350,"@feylya Aww that's sweet, but I'm afraid the feeling is not mutual... ",,
351,@awalker2334 I'm sorry for your loss. ,,
352,Awwwww so cuteeeeeeeeeee! I miss parry!  - http://bit.ly/FLAI5,,
353,Why I get hungry now?? I had dinner 3hours ago ,,
354,"does not know how to remove people I don't want on here, anyone? I press remove but they come right back, makes Twitter really shitty ",,
355,hates when school kids talk about being &quot;FINALLY&quot; on holidays. I get four weeks a year gosh. I never have holidays ,,
356,"you know you're a bum when you think 10am is too early to be up.. i wanna go back to bed  man @dbuck82  , why'd you keep me up so late?lol",,
357,my vacation is going too fast  Housecleaning day,,
358,Part of me wants to go to the gym to blow off this steam before this big meeting but part of me is like f*** it. Need to talk to my mom! ,,
359,"I just LOVE when I get 5 difft emails, each w/ a difft Word .doc that I can't open from my email app (T-Bird). YIPEEE! ",,
360,sadden by the images in the News Gazette yesterday ,,
361,@SoGoPro your link isn't working ,,
362,@katmuro awwww... I miss my not batman cup that krystal made me..   How's ur grandma?  (GET THIS! I ACTUALLY prayed last night!),,
363,I don't like taking over a job for someone that was half azzin it ,,
364,I need to do some yoga or something. I've been so stressed out ,,
365,Is at home sick ,,
366,Can I go back to sleep please? ,,
367,http://twitpic.com/8dczs    i'm here but my hearts there. and so is all of the good parties ...   not inc. #glasto,,
368,"Just realized that I'm not actually funnier at 5 AM, it just FEELS like I'm funnier. ",,
369,in class again? are you serious?! ,,
370,Made it to the treadmill and I still fell like curling up and falling asleep! No nap today  We have Aquatic Preschool grad to attend.,,
371,Hi everybody... I'm at the library once again.... ,,
372,Got to go resign the lease  http://myloc.me/5AKu,,
373,Project Wonderful rejected me. ,,
374,@namyenoh I know  He'll just need to convince them this week. They don't know what they are missing. #y&amp;r,,
375,"could really use some donuts and orange juice right now  , but @padgettalicia has reprimanded me using the debit until more $ appears.",,
376,Dayum its only Thursday ,,
377,@countjackula what's wrong??  get better *cuddles**,,
378,"Today's going to be another one of those &quot;ohshitohshit I'm worrying about it&quot; days, I guess. I wish I could sleep at night. ",,
379,Borinnggggggggg! I hate the stupid cao forms ,,
380,  daughter's beloved diabetic dwarf hamster died in her hands this morning...all creatures are worthy of love. â¥,,
381,Test tonight. Studying all day... ,,
382,My Record   http://bit.ly/16FjE9,,
383,@vindee I won't lie but sometimes I really really miss it!  even like the spoon of sugar in my oatmeal... 3rs july.. Cant wait !,,
384,@marcia724 well its already kinda hot. i can't imagine being an animal with those fur coats year round ,,
385,watching I'm A Celebrity... Thinking about last night       ughhhhh!!!!!,,
386,@Welpje Where did you go? ,,
387,"@brandonleblanc Brandon, It seems there are some probs with the video embedding in other websites ",,
388,"Have u ever seen the things doctors do to our pets?? I mean, it's scary sometimes looking at thermometres poking to my cat's ass ",,
389,I don't think I can make it... ,,
390,hates @ashtonmelancon's schedule for the next 2 weeks. ,,
391,Every time someone uses Microsoft Word to create HTML an angel loses its wings ,,
392,"@BK_II lol, glad you didn't take that the wrong way. Aw can't tonight  You have work tomo?",,
393,@EmmaJaneR oh noes has the weatherman gotten himself a professional tweeter? ,,
394,"Not in a great mood, mothers are sooo annoying! and i have to go work soon ",,
395,Officially left school and hate it! ,,
396,Iss layin in bed cause my stomach hurts really bad ,,
397,@khaled_7 i think she's part trini...which can save us at least a very little part of the embarrassment. ,,
398,@equinorz was suppose to watch but i think not enough good seats uh ,,
399,I seem to be getting more pimples lately... maybe mum was right all along? No more chocolate for me. ,,
400,Anyone want to come to a gig at Fibbers tonight (in york) I have a plus one on the guest list and no plus one   ,,
401,getting my wisdom teeth out  ohhhh buddyyyy,,
402,@tomwisniewski tom I think if I were gay and you were kinda on the line we would make a great couple! I can only dream to be gay ,,
403,missing  the first 17 minutes of so you think you can dance  evil tivo,,
404,"untuk kesekian kalinya, d tinggal onyet pulang kampung.  not too bad laa, besok reunian anak* basket smanssa. HOPE MY DREAM COME TRUE! ",,
405,"I've got just the 3g  but, i want the 3gs because its faster.   ",,
406,ahhh...bill bill bill...  my pay's gone by just paying bills.. hmms,,
407,@bethrenaldi Sunday's game. Had a tix to Friday's game too but sold it b/c didn't realize it was during work hrs. ,,
408,im sad and scared. ,,
409,"Attempting to post the podcast, but WordPress doesn't want to play  The post is there! It just won't accept that it has a media enclosure",,
410,@luke01688 That's my exact Starbucks drink. And there is no Starbucks to be found... ,,
411,Going to 6 flags &amp; river walk. Dont think I'll have time to read today ,,
